"항목",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"항목",고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별),고용:전산업(건설업포함)(분기별)
"일본",17159.16667 (Thousand Persons),16268.33333 (Thousand Persons),15839.16667 (Thousand Persons),15389.16667 (Thousand Persons),15695 (Thousand Persons),15721.66667 (Thousand Persons),15793.33333 (Thousand Persons),15695.83333 (Thousand Persons),15681.66667 (Thousand Persons),15833.33333 (Thousand Persons),15950.83333 (Thousand Persons),15939.16667 (Thousand Persons),15737.5 (Thousand Persons),15586.66667 (Thousand Persons),15573.33333 (Thousand Persons)
