연도(년),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
한국 여론: 부정적 인상(%),76.6,71.0,72.7,61.0,56.3,50.6,49.9,71.6,63.2,52.8,53.3
일본 여론: 부정적 인상(%),37.3,54.4,52.4,44.6,48.6,46.3,49.9,46.3,48.8,40.3,32.8
